"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Flashcards","0","0","6","0","0"
"","","Streaks","0","0","2","0","0"
"","","StripeModal","0","0","2","0","0"
"","","AddNewCourse","1","1","1","0","0"
"","","Navigation","0","0","8","0","0"
"","","Tests","0","1","7","0","1"
"","","Study Guide","0","0","4","0","0"
"","","Search","0","0","2","0","0"
"","","Tests Bronze","0","0","5","0","0"
"","","Performance","0","0","2","0","1"
"","","Profile","0","0","1","0","0"
"","","Checkboxes","0","0","5","0","0"
"","","Mnemonic Cards","0","0","2","0","0"
"","","HomePage","0","0","1","0","0"
"","","StudyGuide","0","0","0","0","1"
