"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 04:40:55 GMT 2024","Tue Jan 23 04:40:57 GMT 2024","1101","Surefire suite","Surefire test","tests.SearchTest","tests.SearchTest","testSearchByExistingKeyWord","testSearchByExistingKeyWord",""
"passed","Tue Jan 23 04:42:41 GMT 2024","Tue Jan 23 04:42:42 GMT 2024","588","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testNavigateToSubMenuItems","testNavigateToSubMenuItems",""
"passed","Tue Jan 23 04:43:42 GMT 2024","Tue Jan 23 04:43:47 GMT 2024","4843","Surefire suite","Surefire test","tests.TestTutorTest","tests.TestTutorTest","testSuccessfulReportSubmission","testSuccessfulReportSubmission",""
"passed","Tue Jan 23 04:43:21 GMT 2024","Tue Jan 23 04:43:23 GMT 2024","2381","Surefire suite","Surefire test","tests.ProfileTest","tests.ProfileTest","testNavigationToTheProfilePage","testNavigationToTheProfilePage",""
"passed","Tue Jan 23 04:44:19 GMT 2024","Tue Jan 23 04:44:27 GMT 2024","8489","Surefire suite","Surefire test","tests.TestTutorTest","tests.TestTutorTest","testUserIsAbleToRetrieveTestResults","testUserIsAbleToRetrieveTestResults",""
"unknown","Tue Jan 23 04:40:54 GMT 2024","Tue Jan 23 04:40:54 GMT 2024","0","Surefire suite","Surefire test","tests.GmailTest","tests.GmailTest","testExtractGmailPasswordOauth2","testExtractGmailPasswordOauth2",""
"passed","Tue Jan 23 04:41:30 GMT 2024","Tue Jan 23 04:41:31 GMT 2024","1166","Surefire suite","Surefire test","tests.PerformanceTest","tests.PerformanceTest","testShowDropdownMenuInPerformanceSection","TC1356-01 - The dropdown menu displaying statistics is opened.","Objective: To confirm the display of statistics for Tests in the Performance section."
"passed","Tue Jan 23 04:42:43 GMT 2024","Tue Jan 23 04:42:43 GMT 2024","581","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testNavigateToSubMenuItems","testNavigateToSubMenuItems",""
"passed","Tue Jan 23 04:41:40 GMT 2024","Tue Jan 23 04:41:45 GMT 2024","4732","Surefire suite","Surefire test","tests.StudyGuideTest","tests.StudyGuideTest","testExecutingWordHighlightingByDoubleClick","testExecutingWordHighlightingByDoubleClick",""
"passed","Tue Jan 23 04:42:05 GMT 2024","Tue Jan 23 04:42:13 GMT 2024","7927","Surefire suite","Surefire test","tests.FlashcardPacksTest","tests.FlashcardPacksTest","test_StartFlashCardPack","test_StartFlashCardPack",""
"passed","Tue Jan 23 04:42:30 GMT 2024","Tue Jan 23 04:42:33 GMT 2024","2786","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testModalWindowStudyIsOpened","testModalWindowStudyIsOpened",""
"passed","Tue Jan 23 04:42:34 GMT 2024","Tue Jan 23 04:42:35 GMT 2024","983","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testNavigateToSubMenuItems","testNavigateToSubMenuItems",""
"passed","Tue Jan 23 04:42:53 GMT 2024","Tue Jan 23 04:42:59 GMT 2024","5271","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testUponClickingCheckboxPointCountIncreases","testUponClickingCheckboxPointCountIncreases",""
