"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Tests Bronze","0","0","5","0","0"
"","","Performance","0","0","2","0","1"
"","","StudyGuide","0","0","0","0","1"
"","","Checkboxes","0","0","5","0","0"
"","","Navigation","0","0","8","0","0"
"","","Study Guide","0","0","4","0","0"
"","","Tests","0","0","8","0","1"
"","","Mnemonic Cards","0","0","2","0","0"
"","","Profile","0","0","1","0","0"
"","","Flashcards","0","0","6","0","0"
"","","Search","0","0","2","0","0"
"","","HomePage","0","0","1","0","0"
"","","Streaks","0","0","2","0","0"
"","","AddNewCourse","0","0","3","0","0"
"","","StripeModal","0","0","2","0","0"
