"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","11","0","1"
"","","Home Page","0","0","4","0","0"
"","","StripeModal","0","0","1","0","0"
"","","Add New Course Page","0","0","2","0","0"
"","","Home page","0","0","5","0","0"
"","","Flashcards","0","0","3","0","3"
"","","Mnemonic Cards","0","0","2","0","0"
"","","Study Guide","0","0","2","0","2"
"","","StudyGuide","0","0","0","0","1"
"","","Test page","0","0","1","0","1"
"","","Subscription payment was successful","0","0","1","0","0"
"","","Performance","0","0","2","0","1"
"","","Profile page","0","0","1","0","0"
"","","Tests","0","0","7","0","0"
"","","Profile","0","0","1","0","0"
"","","Search","0","0","2","0","0"
