"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Performance","0","0","3","0","0"
"","","Mnemonic Cards","0","0","2","0","0"
"","","FlashcardsLogic","0","0","11","0","0"
"","","Tests Bronze","0","0","5","0","0"
"","","Navigation","0","0","8","0","0"
"","","Flashcards","0","0","6","0","0"
"","","Search","0","0","2","0","0"
"","","AddNewCourse","0","0","3","0","0"
"","","Checkboxes","0","0","5","0","0"
"","","Tests","0","1","7","0","1"
"","","Study Guide","0","0","4","0","0"
"","","StudyThis","0","0","3","0","0"
"","","StripeModal","0","0","2","0","0"
"","","Streaks","0","0","2","0","0"
"","","StudyGuide","0","0","1","0","0"
"","","Profile","0","0","1","0","0"
