"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Test page","0","0","1","0","1"
"","","Study Guide","0","0","2","0","2"
"","","Navigation","0","0","8","0","0"
"","","Checkboxes","0","0","5","0","0"
"","","Profile","0","0","1","0","0"
"","","Flashcards","0","0","6","0","0"
"","","Performance","0","0","2","0","1"
"","","Tests Bronze","0","0","5","0","0"
"","","Search","0","0","2","0","0"
"","","Tests","0","0","6","0","1"
"","","HomePage","0","0","1","0","0"
"","","AddNewCourse","0","0","3","0","0"
"","","StripeModal","0","0","2","0","0"
"","","StudyGuide","0","0","0","0","1"
"","","Mnemonic Cards","0","0","2","0","0"
"","","Streaks","0","0","2","0","0"
